Pirmą kartą įregistruotų Lietuvoje M1 klasės transporto priemonių skaičius pagal degalų rūšį 2023 m. sausio-birželio mėn.;;;;;;;
;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;MĖNUO;;;;;
;;1;2;3;4;5;6
Naudota;Benzinas;2271;2387;2689;2734;2892;2738
Naudota;Benzinas/Dujos;82;94;97;84;88;88
Naudota;Benzinas/Dujos/Elektra;23;22;30;14;17;16
Naudota;Benzinas/Elektra;469;527;574;621;677;644
Naudota;Benzinas/Suskystintos naftos dujos;48;54;67;58;61;64
Naudota;Dyzelinas;6699;6755;8273;8105;8268;7955
Naudota;Dyzelinas/Elektra;131;131;155;161;156;165
Naudota;Elektra;114;155;171;194;234;283
Naudota;Kita;654;709;830;642;780;733
Nauja;Benzinas;707;995;1047;976;984;1039
Nauja;Benzinas/Dujos;12;8;11;7;2;18
Nauja;Benzinas/Elektra;831;648;840;767;972;1119
Nauja;Benzinas/Suskystintos naftos dujos;24;12;49;38;46;22
Nauja;Dyzelinas;235;178;375;257;343;460
Nauja;Dyzelinas/Elektra;96;68;81;88;111;203
Nauja;Elektra;167;100;141;190;219;192
Nauja;Kita;;;1;;;
Nauja;Dyzelinas/Dujos;;;;;1;