Naudota_nauja,Degalu_rusis,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06
Naudota,Benzinas,2360,2296,3083.0,3217.0,3687.0,3676.0,3442.0,3901.0,3606.0,4106.0,3392.0,2580.0,3290,3290.0,3545.0,4105.0,4240.0,3969.0,4653.0,4774.0,4506.0,5608.0,4919.0,4804.0,4420,4744.0,2413.0,1909.0,2827.0,4636.0,3502.0,3357.0,3576.0,3525.0,2639.0,2282.0,1730,2004.0,2826.0,3325.0,2498.0,2971.0,3221.0,3368.0,3303.0,3149.0,2810.0,2896.0,2301,2408.0,2389.0,3095.0,3313.0,3131.0,2427.0,2614.0,2706.0,2678.0,2570.0,2542.0,2271,2387.0,2689.0,2734.0,2892.0,2738.0
Naudota,Benzinas/Dujos,235,199,298.0,270.0,320.0,305.0,303.0,309.0,273.0,352.0,313.0,200.0,309,262.0,278.0,265.0,315.0,293.0,386.0,342.0,336.0,418.0,401.0,353.0,320,364.0,161.0,127.0,182.0,286.0,196.0,201.0,242.0,261.0,189.0,173.0,131,148.0,177.0,208.0,147.0,181.0,180.0,209.0,235.0,171.0,129.0,112.0,95,100.0,111.0,135.0,141.0,119.0,116.0,122.0,105.0,118.0,103.0,96.0,82,94.0,97.0,84.0,88.0,88.0
Naudota,Benzinas/Elektra,193,188,207.0,251.0,283.0,290.0,291.0,346.0,290.0,365.0,355.0,261.0,301,291.0,286.0,372.0,359.0,334.0,410.0,374.0,420.0,443.0,412.0,329.0,395,372.0,170.0,211.0,267.0,383.0,416.0,394.0,475.0,426.0,331.0,302.0,259,304.0,387.0,529.0,432.0,532.0,600.0,589.0,601.0,669.0,505.0,585.0,429,434.0,508.0,632.0,698.0,602.0,593.0,618.0,555.0,632.0,524.0,509.0,469,527.0,574.0,621.0,677.0,644.0
Naudota,Dyzelinas,8153,7772,10547.0,10836.0,12292.0,11639.0,11221.0,11866.0,10940.0,12197.0,9673.0,7509.0,10239,9718.0,9771.0,11389.0,11314.0,10091.0,11830.0,11236.0,9879.0,12326.0,11078.0,10635.0,9407,10137.0,4675.0,4231.0,6514.0,11517.0,7682.0,7883.0,8593.0,9096.0,6985.0,6327.0,5167,5790.0,7801.0,9821.0,7636.0,8924.0,9413.0,8873.0,8737.0,8606.0,7258.0,7342.0,6052,6070.0,6334.0,8764.0,9829.0,9509.0,7235.0,7734.0,7810.0,8314.0,7953.0,7308.0,6699,6755.0,8273.0,8105.0,8268.0,7955.0
Naudota,Dyzelinas/Elektra,2,5,3.0,5.0,7.0,7.0,16.0,17.0,8.0,7.0,12.0,14.0,16,11.0,22.0,22.0,22.0,8.0,13.0,18.0,19.0,25.0,24.0,19.0,22,27.0,14.0,17.0,14.0,26.0,36.0,36.0,37.0,28.0,27.0,28.0,27,24.0,33.0,57.0,40.0,46.0,56.0,42.0,43.0,48.0,51.0,57.0,39,34.0,37.0,48.0,60.0,56.0,67.0,84.0,92.0,125.0,152.0,166.0,131,131.0,155.0,161.0,156.0,165.0
Naudota,Dujos,6,3,1.0,6.0,3.0,2.0,6.0,3.0,4.0,5.0,6.0,2.0,5,10.0,10.0,4.0,11.0,7.0,10.0,11.0,12.0,11.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naudota,Elektra,24,13,28.0,31.0,27.0,21.0,19.0,20.0,25.0,27.0,18.0,20.0,10,19.0,11.0,27.0,30.0,23.0,29.0,39.0,31.0,40.0,56.0,52.0,46,44.0,27.0,39.0,48.0,55.0,72.0,71.0,75.0,98.0,79.0,77.0,99,25.0,29.0,62.0,109.0,98.0,135.0,143.0,154.0,188.0,149.0,156.0,85,92.0,159.0,150.0,158.0,114.0,154.0,131.0,112.0,137.0,123.0,134.0,114,155.0,171.0,194.0,234.0,283.0
Naudota,Kita,11,9,9.0,6.0,7.0,9.0,12.0,10.0,11.0,6.0,5.0,10.0,14,19.0,22.0,14.0,20.0,22.0,34.0,11.0,30.0,32.0,34.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,106,129.0,118.0,272.0,547.0,514.0,194.0,277.0,339.0,370.0,496.0,614.0,654,709.0,830.0,642.0,780.0,733.0
Naudota,Benzinas/Elektra/Dujos,,,,,,,,,,,,,,,,,,,,,,,,,16,31.0,9.0,8.0,10.0,22.0,22.0,22.0,32.0,38.0,13.0,13.0,12,13.0,17.0,22.0,27.0,21.0,32.0,24.0,21.0,26.0,22.0,13.0,,,,,,,,,,,,,,,,,,
Nauja,Dyzelinas,,,,,,,,,,,,,,,,,,,,,,,,,619,511.0,356.0,239.0,282.0,425.0,557.0,504.0,708.0,358.0,806.0,1581.0,295,278.0,377.0,479.0,513.0,406.0,323.0,362.0,225.0,247.0,250.0,227.0,335,263.0,218.0,195.0,262.0,303.0,263.0,237.0,227.0,201.0,242.0,128.0,235,178.0,375.0,257.0,343.0,460.0
Nauja,Elektra,,,,,,,,,,,,,,,,,,,,,,,,,21,20.0,46.0,11.0,22.0,41.0,61.0,54.0,52.0,38.0,43.0,44.0,36,12.0,17.0,75.0,99.0,71.0,75.0,85.0,113.0,152.0,136.0,284.0,87,72.0,98.0,91.0,153.0,85.0,159.0,103.0,122.0,133.0,148.0,99.0,167,100.0,141.0,190.0,219.0,192.0
Nauja,Benzinas,,,,,,,,,,,,,,,,,,,,,,,,,3081,3442.0,1547.0,901.0,1479.0,1858.0,1962.0,1627.0,1689.0,2031.0,2769.0,2067.0,1257,690.0,1201.0,1537.0,1564.0,1453.0,1562.0,1168.0,928.0,655.0,773.0,690.0,769,785.0,951.0,1193.0,1228.0,1233.0,1062.0,980.0,1062.0,661.0,668.0,558.0,707,995.0,1047.0,976.0,984.0,1039.0
Nauja,Benzinas/Dujos,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,10.0,6.0,6.0,16.0,17.0,18.0,17,16.0,13.0,23.0,14.0,39.0,50.0,27.0,17.0,10.0,34.0,38.0,32,21.0,25.0,19.0,5.0,6.0,18.0,35.0,10.0,19.0,43.0,14.0,12,8.0,11.0,7.0,2.0,18.0
Nauja,Dyzelinas/Elektra,,,,,,,,,,,,,,,,,,,,,,,,,27,21.0,20.0,13.0,14.0,20.0,22.0,18.0,35.0,50.0,57.0,46.0,62,75.0,74.0,81.0,84.0,83.0,96.0,81.0,59.0,56.0,72.0,41.0,79,82.0,85.0,63.0,84.0,63.0,57.0,76.0,74.0,44.0,55.0,47.0,96,68.0,81.0,88.0,111.0,203.0
Nauja,Benzinas/Elektra,,,,,,,,,,,,,,,,,,,,,,,,,490,259.0,266.0,213.0,240.0,325.0,748.0,1188.0,2192.0,927.0,613.0,489.0,635,1162.0,1383.0,1408.0,1659.0,1422.0,1142.0,646.0,680.0,428.0,494.0,497.0,912,665.0,969.0,774.0,883.0,815.0,566.0,800.0,720.0,644.0,601.0,588.0,831,648.0,840.0,767.0,972.0,1119.0
Naudota,Benzinas/Dujos/Elektra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17.0,21.0,19.0,29.0,28.0,26.0,23.0,29.0,31.0,26.0,33.0,23,22.0,30.0,14.0,17.0,16.0
Naudota,Benzinas/Suskystintosnaftosdujos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,52.0,48.0,55.0,75.0,54.0,46.0,47.0,50.0,49.0,36.0,38.0,48,54.0,67.0,58.0,61.0,64.0
Nauja,Benzinas/Suskystintosnaftosdujos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,13.0,4.0,10.0,11.0,13.0,5.0,15.0,1.0,6.0,8.0,11.0,24,12.0,49.0,38.0,46.0,22.0
Nauja,Kita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,,,,1.0,,,
